POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
215031404,29,9,12,593,466,41,40,5,8,559,518,45,33,4,10,612,532,64,58,12,11,677,417,55,38,11,14,533,171,31,23,3,9,236,30,10,11,8,3,65,6,4,9,7,6,32,5497,422,351,79,94,6447
215031405,25,11,3,212,114,30,27,11,8,188,133,26,31,26,4,216,151,29,31,24,5,247,118,24,29,26,4,209,47,26,20,31,9,129,19,11,17,19,6,65,7,5,9,27,3,59,1563,233,235,205,47,2286
216011406,58,3,6,778,799,79,69,15,11,975,744,89,79,9,7,933,744,76,65,20,6,919,614,81,80,18,5,806,238,34,40,11,7,332,71,10,12,6,0,99,15,7,8,15,3,56,7485,572,551,120,86,8813
216011407,31,8,9,344,318,43,43,6,11,420,323,45,43,10,9,436,319,46,42,15,5,426,258,47,47,19,3,371,111,19,40,14,10,196,44,13,30,18,4,106,17,14,18,7,7,66,3076,301,377,134,84,3967
216011408,12,9,0,72,34,20,28,5,0,91,42,16,24,5,5,101,37,28,27,12,0,106,43,23,34,11,6,119,15,13,38,23,3,87,0,0,21,7,0,32,5,5,15,12,3,39,466,141,226,100,31,967
216011409,15,4,0,116,106,10,16,6,3,138,105,18,20,12,0,154,112,14,12,9,3,155,95,16,24,12,0,146,46,0,17,8,5,78,12,4,7,4,0,27,4,5,6,3,0,16,961,104,147,68,23,1305
216011410,12,6,0,108,94,11,20,4,3,131,108,18,19,5,0,159,114,20,26,9,4,176,93,18,33,16,3,169,40,18,23,17,5,96,12,3,24,13,3,50,0,0,12,13,9,38,927,130,204,100,35,1392
216021411,27,6,4,359,308,34,16,4,6,367,295,50,20,4,8,374,277,41,22,11,4,351,247,26,14,8,3,304,105,18,13,14,4,150,29,13,3,5,0,60,12,10,0,8,0,30,2936,265,165,79,43,3490
216021412,5,5,3,56,34,13,18,6,0,66,48,16,14,7,0,85,36,22,15,12,0,83,29,12,18,22,0,75,12,5,19,8,4,54,7,3,9,12,0,34,0,0,11,14,3,26,336,105,133,82,17,677
216021413,49,9,0,391,280,39,47,18,12,402,324,57,67,30,9,487,315,52,77,20,11,469,257,59,84,34,18,447,99,29,55,35,7,224,44,25,17,30,3,110,5,8,23,21,3,67,3177,373,526,229,85,4388
216021414,26,3,5,241,214,41,24,0,0,285,250,32,23,13,3,320,234,43,20,7,3,302,185,12,20,9,5,236,79,8,15,4,4,109,15,13,5,0,0,39,11,9,3,5,0,28,2323,242,198,55,26,2847
216031415,10,6,0,169,137,17,10,4,3,176,142,26,16,5,0,181,141,11,10,0,0,167,117,10,6,4,3,148,56,9,16,0,0,75,29,7,5,4,0,41,5,0,4,0,6,14,1518,111,99,25,27,1785
216031416,44,12,11,1421,1343,110,57,15,11,1537,1399,125,61,8,9,1605,1315,125,56,15,9,1522,993,118,61,19,18,1193,440,60,38,18,0,559,113,29,26,8,7,187,24,12,3,12,7,60,13190,882,518,127,111,14831
216031418,15,5,0,129,91,14,22,9,0,140,91,32,17,12,0,160,107,24,33,14,5,179,71,22,29,12,5,142,24,19,18,15,0,81,11,7,16,9,0,44,4,9,15,18,4,54,920,176,195,111,29,1428
216031419,32,11,3,419,349,46,43,14,7,457,362,42,46,26,10,491,343,43,55,22,10,468,230,34,50,19,7,341,88,31,48,27,5,192,30,7,23,27,0,83,15,16,16,15,4,65,3125,304,391,188,68,4079
216031593,18,0,3,166,115,27,22,3,0,159,107,25,24,6,0,166,115,34,22,0,4,177,75,28,18,3,0,127,30,8,13,4,6,63,8,3,3,3,0,32,8,7,0,0,0,17,1401,209,169,30,20,1830
216031594,38,13,8,675,538,54,33,11,5,642,579,68,34,13,10,704,513,65,34,19,9,643,377,51,39,7,14,487,137,43,28,6,5,218,61,4,14,9,0,87,13,9,5,9,7,39,6215,453,325,115,69,7172
217011420,30,12,0,220,185,29,38,22,11,287,170,23,55,23,11,286,203,43,66,19,4,335,168,28,91,27,3,321,84,14,79,31,9,219,30,10,37,40,5,113,12,11,44,38,18,122,1747,219,533,244,72,2815
217011421,36,6,6,472,455,25,45,4,9,530,496,30,34,5,5,569,482,41,53,5,11,589,373,29,46,6,11,470,177,23,39,7,5,250,45,7,13,8,6,83,10,11,9,5,9,39,4548,255,366,64,81,5315
217011422,35,5,4,488,550,17,28,4,3,613,541,34,36,9,5,617,571,30,38,4,7,650,374,44,45,6,14,483,156,23,29,11,3,223,50,5,10,6,0,85,10,6,9,6,4,38,4709,222,307,75,64,5369
217011423,53,22,8,206,108,20,70,16,5,224,121,29,53,27,8,235,116,36,87,30,4,277,109,25,96,45,6,282,48,30,73,52,13,220,16,12,59,39,7,135,5,12,28,39,4,89,1169,229,611,335,68,2406
217031471,13,4,0,148,138,12,10,0,3,171,139,9,22,0,0,172,159,11,12,0,6,186,118,14,17,0,4,155,56,7,10,4,0,77,16,3,3,4,0,30,10,3,9,4,4,33,1321,96,121,32,25,1598
217031472,42,9,0,663,605,56,42,5,10,714,669,31,60,9,4,772,629,46,43,3,4,732,454,32,62,4,0,549,214,17,23,9,6,270,68,14,12,3,10,107,21,3,7,5,9,41,6589,329,398,66,65,7453
217031473,25,10,0,125,65,30,43,7,3,144,76,20,44,12,6,148,48,31,43,22,5,147,53,23,44,22,3,140,19,14,45,20,0,108,12,13,38,20,3,91,6,3,26,27,9,72,776,184,368,167,48,1549
217031474,27,11,3,194,140,21,29,8,4,205,168,36,27,12,5,240,156,24,61,14,9,272,138,28,49,18,8,246,70,31,45,18,5,169,17,13,20,20,3,78,8,4,15,14,7,50,1548,218,324,152,67,2313
217031475,42,7,5,286,210,40,75,16,10,351,216,52,92,14,10,393,247,29,86,29,22,414,182,32,79,16,16,317,91,23,48,17,4,188,21,19,28,39,3,108,5,3,40,21,3,76,2230,309,603,191,95,3425
217031476,19,3,0,112,80,26,32,5,3,145,102,29,34,6,5,178,109,22,34,6,3,178,101,24,40,14,6,176,38,13,23,17,0,100,21,3,23,7,0,57,0,3,9,12,4,31,978,166,247,87,32,1504
217041477,45,16,0,184,116,33,64,14,3,227,112,39,63,19,5,243,109,39,94,28,16,278,101,34,69,22,10,231,45,11,73,20,7,157,8,14,36,22,3,82,6,15,37,24,15,95,1242,286,570,206,71,2372
217041478,36,7,0,294,232,42,76,17,9,365,230,44,67,16,10,373,245,38,72,24,19,393,175,23,74,26,10,311,88,24,73,23,4,212,27,18,38,20,11,109,6,9,22,24,12,68,2290,289,551,173,84,3381
217041479,58,9,3,509,398,26,50,7,8,482,379,49,68,12,3,515,350,29,44,7,9,439,275,34,63,9,0,378,106,18,35,6,0,167,20,8,18,13,0,63,11,4,4,4,0,23,4016,262,483,76,37,4866
