POW_SA2_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
505021088,426,665,414,670,309,1214,116,477,52,4343
505021089,656,1325,756,1111,571,1370,266,529,72,6659
505021090,151,337,210,404,157,264,139,143,31,1831
505021091,3949,5110,4038,1387,4532,1942,1228,1897,452,24529
505021092,369,544,422,746,284,285,43,302,42,3037
505021093,898,1985,1089,637,1102,471,285,806,128,7403
505021094,181,335,177,298,150,164,8,113,23,1457
505021095,201,428,227,335,157,129,49,168,21,1714
505021096,339,1134,287,536,260,281,30,195,53,3110
505021097,295,745,322,979,325,299,49,253,43,3318
505021301,361,860,271,820,523,740,84,357,86,4101
505021302,137,406,237,262,142,258,51,155,29,1680
505031098,122,307,183,221,105,215,86,159,24,1424
505031099,284,750,393,858,256,590,185,448,64,3838
505031100,350,469,605,462,301,438,376,526,68,3606
505031101,361,394,434,562,346,846,130,440,50,3568
505031102,123,279,146,268,90,179,35,170,26,1316
505031104,48,161,98,365,92,41,52,95,14,965
505031105,324,796,519,586,335,275,85,361,37,3318
505031106,13,10,28,4,0,0,40,11,0,110
505031107,218,293,344,194,152,111,115,243,25,1686
505031255,148,372,276,379,118,129,68,177,22,1686
505031256,213,37,119,49,76,26,65,316,23,937
505031257,45,89,78,65,47,49,16,43,12,443
505031258,133,267,249,355,123,174,69,187,27,1569
505031303,422,334,543,217,330,203,322,344,54,2770
505031304,90,242,173,186,129,82,38,124,7,1070
505031305,2864,1824,4954,1083,2775,1462,2195,2243,323,19722
505031306,416,746,498,950,489,434,129,477,60,4193
506011110,575,1122,834,1252,674,1056,223,647,84,6464
506011111,0,0,0,0,0,0,0,0,0,0
506011112,56,201,79,158,53,38,124,65,4,781
506011114,343,512,622,480,437,432,299,431,60,3623
506011115,120,1297,187,379,337,25,51,148,51,2592
506011116,161,153,161,137,121,101,35,167,17,1051
506011117,65,196,85,260,69,135,40,112,11,972
506011307,156,514,146,287,105,335,61,238,30,1876
506011308,492,547,871,320,466,191,453,423,71,3832
506021118,2232,2723,2225,1960,2134,1017,1098,1227,251,14863
506021119,725,1106,925,1262,650,646,206,599,78,6200
506021120,1161,738,1201,90,1217,400,2014,727,139,7690
506021121,1546,2303,2223,1466,2224,1094,3094,823,289,15057
506021123,1890,2600,1686,3495,1691,1001,466,1421,224,14480
