POW_SA2_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
507041176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,18,26,17,13,0,89,5,11,15,11,14,6,0,72,0,0,0,0,0,0,0,4,61,110,120,162,128,46,4,639
507041177,5,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,13,7,7,5,0,0,0,0,17,11,42,74,103,90,50,8,372,186,80,62,46,66,21,0,470,0,0,0,3,4,3,0,13,774,753,716,743,673,189,29,3877
507041178,10,6,3,7,3,0,0,31,8,0,0,0,0,0,0,4,11,11,9,0,0,0,0,33,26,17,6,12,4,3,0,70,25,79,158,191,141,81,22,698,417,169,127,90,117,38,5,967,14,8,7,0,3,0,4,37,1792,1461,1364,1316,1043,321,49,7348
507041179,7,3,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,15,4,24,45,40,39,35,5,194,85,31,26,22,28,17,3,209,0,4,0,0,0,0,0,11,426,371,378,418,391,130,17,2129
507041180,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9,10,27,64,74,68,47,7,301,46,21,29,29,26,9,0,164,0,0,0,3,0,0,0,5,275,273,293,357,290,105,9,1609
507041181,5,5,5,0,0,0,0,17,0,0,0,0,0,0,0,0,7,7,6,3,0,0,0,23,15,10,8,8,0,0,0,41,12,43,141,175,128,90,21,599,269,152,112,68,99,40,5,752,0,4,9,5,3,3,6,30,1387,1364,1359,1301,975,394,56,6840
507041182,6,27,28,25,24,6,0,119,0,6,0,0,0,0,0,9,16,14,13,4,4,0,0,47,25,46,41,32,30,3,0,170,17,77,126,130,129,47,8,531,244,657,581,388,372,99,4,2349,8,14,11,14,5,3,0,52,1473,3893,3959,3350,2537,578,35,15827
507041183,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,12,0,15,25,27,16,8,0,104,33,28,18,20,11,5,0,118,0,0,0,0,0,0,0,0,166,185,193,164,131,48,3,895
507041184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,31,46,45,38,5,188,33,0,13,9,17,7,0,78,0,0,0,0,0,0,0,0,124,94,109,157,130,87,8,709
507051186,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,10,0,12,23,19,19,4,0,79,36,107,106,100,92,12,0,448,0,0,0,0,0,0,0,5,212,445,559,568,452,81,4,2322
507051187,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,9,3,0,4,0,0,0,15,3,36,51,57,45,9,0,208,115,76,62,63,48,24,0,381,3,7,3,3,0,0,0,17,625,553,656,620,491,79,8,3039
507051188,22,10,9,10,3,0,0,55,0,0,0,0,0,0,0,0,4,3,3,3,0,5,0,23,30,18,12,11,6,3,0,79,21,87,127,129,102,34,12,508,456,405,277,249,245,69,10,1711,12,12,13,6,3,0,4,57,2920,3806,3280,2948,2365,526,48,15901
