POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
104021088,5,6,0,0,12,615,762,75,29,1483
104021089,3,17,0,0,19,2337,2153,216,89,4799
104021090,0,6,0,0,7,585,568,56,22,1225
104021091,3,14,3,0,18,1804,1577,125,87,3600
105011092,9,4,0,4,22,996,295,53,54,1392
105011093,13,9,0,0,26,1630,453,164,52,2300
105011094,18,13,0,3,33,978,412,57,40,1488
105011095,22,19,4,12,56,1738,543,93,64,2445
105011096,30,13,4,0,41,1199,515,86,46,1852
105021097,12,20,4,4,43,4458,2108,388,166,7121
105021098,21,9,0,0,34,684,193,33,23,936
105031099,47,42,4,5,99,1573,933,86,59,2652
105031100,16,32,3,0,52,5026,1719,298,138,7184
105031101,15,44,4,9,69,7192,3665,543,222,11624
105031102,12,9,0,0,26,1606,871,113,57,2644
105031103,15,31,0,0,48,694,291,25,21,1034
105031104,19,22,3,0,49,927,519,64,47,1558
105031105,32,19,0,3,54,1510,586,87,58,2241
105031106,34,20,9,3,63,1813,847,115,80,2861
106011107,11,26,11,0,47,2124,1929,791,92,4941
106011108,6,17,4,0,32,3820,3005,512,123,7459
106011109,5,18,4,0,26,939,607,106,31,1688
106011110,28,47,5,0,73,1215,1034,115,52,2412
106011111,6,11,0,0,11,2055,1718,196,63,4034
106011112,10,24,0,0,39,5269,2813,418,167,8664
106011113,18,22,0,5,44,6654,895,449,154,8152
106021114,8,0,4,0,24,4202,3026,491,121,7843
106021116,0,10,0,0,12,652,551,58,18,1278
106021614,5,11,5,4,27,3458,3647,561,104,7769
106021615,8,14,0,3,20,1388,1439,168,52,3048
106021616,0,3,0,8,16,4015,1317,233,87,5648
106021617,3,9,3,0,7,785,694,100,19,1606
106021618,7,21,4,0,34,3569,1869,222,99,5760
106031119,3,11,0,0,8,462,482,93,20,1058
106031120,0,5,0,0,4,364,504,61,17,947
106031121,18,60,3,0,76,2992,3536,673,98,7303
106031122,11,25,3,4,37,7947,2931,565,187,11626
106031123,5,7,4,0,12,475,280,28,21,808
106031124,4,17,5,0,26,516,572,98,32,1222
106031125,8,13,7,0,31,5066,1697,427,110,7307
106041126,8,15,5,6,33,5991,1944,480,183,8603
106041127,16,17,0,0,38,1571,497,96,37,2206
106041128,7,13,0,4,25,1783,1049,108,49,2989
106041129,32,45,0,4,81,1538,731,93,76,2442
107011131,12,15,4,0,30,2229,2317,593,87,5228
107011132,6,3,0,0,3,783,513,105,23,1423
107011133,0,3,0,3,9,3040,484,212,66,3793
107011134,7,14,0,3,27,6847,2786,800,161,10589
107011545,4,12,0,0,16,822,739,211,27,1799
107011546,3,8,0,0,11,4359,2369,687,94,7510
107011547,0,0,0,0,0,212,221,78,6,513
107021135,0,0,0,0,0,20,13,15,0,43
107031136,5,3,0,5,13,1314,1352,300,59,3031
107031137,0,4,4,0,12,1587,1213,320,51,3172
107031138,3,16,4,4,25,1449,1607,254,47,3360
107031139,0,6,0,0,6,340,329,41,11,724
107031140,12,26,3,0,43,1027,1023,153,39,2246
107031141,0,9,0,0,14,1661,1326,399,55,3444
107031142,3,6,0,0,16,3388,2738,1189,128,7437
107031143,5,8,7,0,16,1745,1700,446,64,3960
107041144,9,19,3,0,31,3028,2566,724,98,6419
107041145,4,9,0,0,22,1698,1640,394,55,3784
107041146,9,17,0,0,30,3095,2693,666,96,6554
107041147,4,10,3,0,20,952,824,239,27,2044
107041148,3,8,0,0,9,1015,1270,358,39,2676
107041150,6,6,4,0,16,1962,1893,524,49,4427
107041548,25,42,7,7,76,11796,6951,2682,256,21688
107041549,12,15,3,3,32,4348,2998,641,94,8082
108011151,16,23,0,4,42,699,558,69,43,1367
108011152,15,24,5,3,50,2274,2364,247,123,5010
108011153,6,18,5,0,26,561,636,80,33,1306
108011154,0,13,0,5,17,1149,1001,97,81,2329
108021155,14,26,5,7,50,4036,2770,385,186,7373
108021156,30,29,4,5,63,924,703,89,56,1770
108021157,0,12,0,4,19,1183,947,97,56,2283
108021158,4,21,0,3,29,852,975,90,58,1976
108021159,20,28,3,4,55,676,591,41,37,1348
108021160,3,10,0,0,10,514,609,79,28,1232
108031161,4,3,0,0,6,110,105,34,9,257
108041162,9,23,0,9,36,1672,1671,158,70,3567
108041164,15,47,8,11,81,7942,5051,628,190,13812
108041165,17,25,0,3,44,647,419,51,25,1139
108041166,9,28,0,6,42,2280,1405,138,67,3894
108041619,3,41,0,4,46,2915,2825,344,82,6162
108041620,0,16,0,4,27,1952,1627,183,67,3837
108051167,20,21,3,3,50,1040,714,81,64,1889
108051168,8,15,4,0,30,802,766,86,44,1689
108051169,18,38,6,8,71,6393,4423,538,249,11598
108051170,23,34,3,6,65,933,723,65,53,1778
108051171,5,3,0,0,10,781,639,70,36,1530
