POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
110021190,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,3,3,8,0,48,3,0,0,0,0,8,0,0,0,0,0,0,10,0,3,3,0,16,39,0,4,8,3,59,2313,169,442,231,74,3233
110021191,3,0,0,0,0,0,70,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,14,0,0,0,0,0,3,13,0,0,0,0,13,7,0,3,0,0,12,49,7,10,0,6,73,5,0,0,0,0,6,5,3,6,0,0,20,91,5,0,0,0,92,58,3,6,4,9,82,4703,239,419,83,66,5509
110021192,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,14,4,4,4,0,30,592,84,249,221,30,1167
110021193,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,14,5,0,0,0,0,3,0,0,0,0,0,0,7,0,3,3,0,11,14,4,3,0,3,28,999,104,332,287,23,1751
110021194,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,4,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,19,3,11,4,0,33,4,0,0,9,0,9,0,0,0,0,0,0,39,6,3,4,0,54,24,0,9,9,4,49,1397,149,308,247,35,2151
110031195,3,0,0,0,0,3,20,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,19,12,0,0,0,0,12,0,0,0,0,0,0,11,3,0,0,0,14,42,4,0,0,0,57,5,0,0,0,0,6,3,0,0,0,0,4,32,3,0,0,0,38,45,0,4,3,7,55,3045,235,246,45,56,3627
110031196,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,16,0,8,8,0,35,4,0,0,3,0,9,0,0,0,0,0,0,18,3,0,0,0,26,12,0,0,0,0,16,1190,195,285,235,38,1945
110031197,0,0,0,0,0,0,36,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,4,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,14,4,0,0,0,18,39,5,5,0,0,51,2593,190,189,49,39,3059
110031198,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,20,4,0,0,0,0,4,4,0,0,0,0,0,16,5,0,0,0,20,24,4,5,4,8,41,1657,163,207,190,33,2248
110041199,3,0,0,0,0,3,32,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,9,43,0,8,4,0,55,5,0,3,0,0,6,3,0,0,0,0,8,39,0,0,0,0,38,33,0,0,0,0,39,3605,216,261,65,31,4181
110041200,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,24,0,0,3,0,31,0,0,0,0,0,6,5,0,0,0,0,5,38,0,0,0,0,32,30,5,0,7,3,48,1880,169,234,166,27,2482
110041201,4,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,33,6,7,3,0,46,0,0,3,0,0,5,0,0,0,0,0,3,12,0,0,0,0,11,24,3,7,0,0,38,1960,193,331,148,39,2683
110041202,3,0,0,0,0,3,82,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,4,42,0,0,0,0,42,9,0,0,0,0,11,45,3,15,5,0,65,9,0,0,0,0,7,55,0,0,0,0,55,53,0,6,0,0,60,28,0,5,0,3,37,4709,252,391,70,44,5464
110041203,19,8,0,3,0,27,115,4,0,0,0,123,0,0,0,0,0,0,5,0,0,0,0,4,30,9,0,0,0,36,26,0,0,0,0,27,5,0,0,0,0,12,12,0,4,3,0,22,184,8,13,0,0,206,33,0,0,0,0,37,26,0,11,0,0,37,148,0,12,6,3,169,66,0,9,0,0,72,10983,522,591,108,78,12281
110041204,10,0,0,0,0,10,125,0,0,0,3,133,0,0,0,0,0,0,4,0,0,0,0,3,28,0,0,0,0,34,7,0,0,0,0,7,78,0,0,0,11,87,12,0,0,0,0,12,56,0,4,0,0,64,10,0,0,0,0,11,131,0,0,0,0,131,64,0,4,0,6,73,32,0,0,0,4,40,5242,292,224,45,50,5860
110041205,0,0,0,0,0,3,16,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,30,11,11,3,0,67,6,0,0,3,0,9,0,0,0,0,0,0,26,3,3,3,4,36,32,3,14,7,0,57,2104,346,748,401,69,3666
111011206,7,4,0,0,0,6,39,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,29,3,4,3,0,39,7,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,15,170,11,17,3,3,207,15,0,3,0,0,23,14,0,0,0,0,15,87,3,7,5,0,103,17,0,0,0,0,18,6184,440,450,92,23,7190
111011207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,19,6,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,11,4,0,0,0,0,0,528,91,105,13,8,742
