POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
213051585,0,276,0,277,0,189,0,189,0,32,0,32,0,498,0,500,0,334,0,330,0,301,0,303,0,43,0,43,5,673,0,680,4,611,0,615,0,489,0,490,0,81,0,81,5,1176,0,1182
213051586,38,7043,9,7090,7,1626,0,1640,5,439,4,443,51,9110,14,9173,3,2210,9,2225,3,1164,0,1172,3,220,0,223,12,3598,11,3617,45,9255,16,9322,10,2794,0,2807,7,658,4,667,64,12707,25,12792
213051587,5,508,0,511,0,255,0,258,0,59,0,66,9,821,0,830,0,284,0,287,0,307,0,307,0,40,0,40,0,629,0,633,5,789,0,797,0,559,0,559,0,101,0,103,10,1454,0,1464
213051588,0,491,0,494,0,327,0,332,0,66,0,64,8,882,0,889,6,697,0,701,0,513,0,518,0,84,0,81,8,1295,0,1307,9,1188,0,1198,4,848,0,848,3,151,0,150,15,2183,0,2193
213051589,0,201,0,205,0,141,0,143,0,18,0,20,4,364,0,367,0,208,0,209,5,183,0,181,0,22,0,24,5,410,0,415,9,412,0,416,0,326,0,327,3,38,0,42,16,768,0,786
213051590,4,280,0,285,0,282,3,284,0,33,0,34,4,593,3,605,4,321,0,332,8,586,0,594,3,71,0,74,18,981,0,992,9,604,0,611,8,867,5,878,3,104,0,106,19,1576,5,1594
214011370,54,6377,19,6443,22,1599,8,1629,4,358,3,366,78,8336,26,8433,16,2444,7,2468,22,2751,12,2786,8,408,5,415,48,5605,19,5670,67,8816,19,8912,48,4353,15,4413,11,765,3,780,128,13935,37,14105
214011371,25,3647,9,3682,17,1733,0,1752,0,441,3,451,46,5822,11,5879,47,4603,10,4663,39,5972,14,6030,10,1108,8,1126,101,11684,37,11820,77,8253,23,8345,61,7701,18,7786,11,1550,13,1572,145,17503,45,17699
214011372,8,767,0,775,3,534,0,538,0,102,0,105,8,1401,3,1417,10,796,0,803,14,1293,5,1309,0,205,0,205,23,2296,4,2321,12,1563,5,1581,16,1828,7,1849,3,310,0,314,33,3701,8,3741
214011373,0,690,0,693,7,372,4,383,0,61,0,61,9,1122,4,1135,3,598,6,604,4,969,0,969,0,94,0,99,7,1662,3,1676,5,1288,4,1297,9,1342,4,1353,0,156,0,163,18,2786,9,2809
214011374,10,1395,5,1413,3,599,0,601,0,124,0,121,16,2114,0,2131,8,1166,0,1176,13,1746,4,1763,5,236,0,242,23,3148,6,3173,17,2563,3,2579,20,2341,4,2364,5,357,3,364,38,5261,11,5306
214011375,33,2934,7,2980,9,814,3,824,3,216,4,220,49,3961,9,4023,6,1127,3,1138,10,1405,5,1421,5,216,4,223,21,2751,6,2783,43,4062,12,4118,22,2218,7,2241,10,430,3,443,75,6714,17,6799
214011376,9,489,0,496,0,227,0,234,0,44,0,44,8,760,4,776,6,338,6,342,0,399,0,401,0,58,0,58,3,799,4,802,14,825,0,844,5,630,0,633,0,99,4,107,19,1557,9,1581
214021377,16,1051,9,1076,4,517,3,530,0,147,0,146,22,1719,11,1747,3,643,5,652,5,1048,5,1053,4,181,0,185,14,1879,8,1900,18,1702,9,1726,17,1566,8,1586,3,331,0,336,36,3594,18,3648
214021378,15,1044,4,1058,3,570,8,580,0,176,4,178,19,1782,16,1814,5,537,4,537,6,905,3,916,6,234,4,241,12,1678,11,1696,19,1579,7,1602,11,1474,12,1491,4,406,4,418,31,3458,28,3516
214021379,77,3971,11,4058,18,1087,9,1111,6,306,4,316,106,5360,23,5488,34,1571,0,1607,33,1939,6,1982,7,308,3,321,70,3826,11,3909,108,5546,17,5665,57,3023,12,3092,17,612,5,636,179,9180,32,9396
214021381,6,1008,0,1018,9,605,0,611,0,93,0,92,12,1706,0,1720,5,965,0,967,8,1473,7,1477,0,171,4,177,8,2614,8,2630,0,1980,0,1984,13,2077,7,2093,0,267,4,267,16,4317,12,4344
214021382,10,825,3,834,0,447,0,444,0,92,0,94,9,1358,3,1371,0,587,0,590,3,1004,0,1008,3,148,0,149,6,1733,0,1741,7,1410,3,1424,0,1447,0,1450,3,240,0,241,18,3094,6,3118
214021383,16,1510,7,1536,0,867,4,869,3,235,5,246,19,2611,14,2647,6,680,0,687,10,1407,0,1420,0,374,5,375,20,2460,8,2486,25,2189,7,2221,11,2273,6,2288,7,611,8,625,38,5070,23,5137
214021384,10,1680,3,1692,9,948,3,965,3,268,0,271,25,2898,14,2933,7,1359,6,1370,23,2337,6,2371,9,408,0,416,42,4102,17,4156,21,3041,10,3068,33,3286,14,3329,13,679,4,692,69,6995,33,7091
214021385,26,2693,5,2730,8,1069,4,1073,3,229,0,234,38,3991,9,4035,10,1574,7,1591,18,2118,4,2138,0,323,0,326,26,4020,13,4053,34,4269,14,4317,25,3181,4,3210,0,552,0,554,58,8008,18,8083
214021591,23,2447,8,2476,6,892,4,907,0,192,0,199,33,3534,14,3580,14,1397,9,1416,12,2068,5,2090,6,293,0,294,34,3759,13,3809,32,3850,8,3894,24,2961,9,2996,6,483,0,491,65,7296,22,7389
214021592,5,1187,6,1193,7,791,6,799,5,184,0,183,15,2157,8,2181,8,1450,3,1460,18,2660,4,2685,0,433,4,438,25,4544,10,4586,12,2635,3,2656,25,3456,7,3484,8,612,4,621,40,6706,17,6765
215011386,18,1369,7,1392,4,418,0,430,0,128,0,133,17,1921,11,1953,6,932,0,937,5,929,0,936,0,184,0,183,17,2040,5,2062,24,2302,8,2333,12,1348,5,1367,0,310,0,315,40,3963,17,4014
215011387,6,543,3,547,0,130,0,132,0,53,0,54,10,723,6,742,4,192,0,191,0,217,0,220,0,36,0,36,4,443,4,453,5,730,7,747,0,346,0,347,0,94,0,92,12,1175,3,1190
215011388,44,2859,11,2912,12,820,7,837,3,215,0,224,58,3892,23,3969,27,1866,5,1891,35,2254,9,2299,3,343,5,356,63,4466,23,4544,66,4724,18,4806,46,3076,13,3136,6,567,7,579,116,8366,39,8524
215011389,0,658,0,659,0,140,0,141,0,41,0,41,5,837,0,844,0,168,0,170,3,182,0,186,0,26,0,28,0,381,5,386,7,825,0,828,4,325,4,331,0,73,0,71,10,1220,8,1237
215011390,12,1195,4,1207,5,230,0,242,0,77,0,78,19,1500,7,1518,5,520,0,526,6,652,0,661,0,105,0,105,5,1279,0,1289,11,1717,6,1735,6,883,0,897,0,178,0,180,20,2780,10,2813
215011391,0,547,0,554,0,149,0,151,0,46,0,46,8,747,0,751,3,235,0,237,7,328,0,336,0,44,0,50,11,607,0,617,4,786,0,791,8,482,0,487,0,95,0,97,11,1356,0,1373
215011392,18,1302,4,1323,7,431,5,438,0,149,0,147,26,1874,5,1912,4,772,10,780,9,823,6,837,0,182,6,185,17,1772,14,1801,20,2073,12,2103,16,1249,10,1276,5,334,6,339,43,3651,23,3713
215011393,4,540,6,545,0,119,0,119,0,36,0,36,4,691,6,697,0,199,4,205,0,241,4,248,0,35,0,41,6,477,6,484,10,736,11,753,0,360,4,361,0,71,0,71,12,1168,7,1185
215011394,10,1013,4,1024,3,277,5,278,0,83,0,82,7,1372,7,1388,4,420,0,427,12,612,3,630,0,112,0,117,19,1146,6,1165,7,1436,4,1447,15,891,5,912,0,197,0,196,22,2520,10,2556
215021395,29,894,10,932,3,232,0,239,0,75,3,78,37,1205,9,1249,10,391,5,402,7,400,7,415,0,63,3,67,16,853,10,878,38,1291,6,1336,15,629,7,650,0,133,7,142,55,2054,20,2129
215021396,10,430,4,441,6,127,0,137,0,40,0,42,10,602,4,621,5,287,0,294,12,247,6,260,5,37,0,43,14,570,4,596,13,719,8,734,12,378,8,396,3,78,0,87,27,1172,9,1218
215021398,21,1095,0,1119,4,214,0,217,3,78,0,79,25,1388,5,1420,4,314,3,327,4,349,3,350,0,57,4,62,5,721,13,735,24,1414,11,1441,11,561,9,569,3,134,4,139,35,2107,16,2155
215021399,12,612,5,626,0,192,4,203,0,61,0,65,13,866,10,890,0,286,0,287,14,318,3,328,0,56,5,62,14,656,5,682,15,900,5,913,13,510,4,527,5,118,6,125,29,1527,9,1565
215021469,116,4149,27,4288,32,1011,5,1051,16,334,11,358,163,5494,41,5701,129,3194,9,3338,95,2881,15,2988,25,545,10,575,245,6618,28,6896,241,7348,31,7626,128,3890,18,4040,41,880,18,932,409,12111,69,12598
215021470,19,1161,3,1186,16,554,3,576,5,138,0,140,45,1853,4,1902,17,889,9,915,39,1155,9,1203,15,198,0,217,67,2243,16,2331,37,2056,9,2098,55,1707,9,1773,23,334,0,356,114,4099,28,4231
215031400,10,1084,8,1100,4,262,0,263,0,69,3,71,17,1410,8,1433,6,446,0,455,3,610,3,618,0,84,0,88,8,1140,6,1153,18,1530,6,1549,7,869,3,884,3,153,3,153,30,2548,14,2593
215031401,10,975,4,983,4,224,0,229,0,60,0,64,13,1250,5,1273,0,396,5,397,4,428,3,434,0,64,0,66,4,889,3,891,10,1370,8,1382,8,657,6,664,0,122,0,123,14,2141,13,2167
215031402,13,556,3,574,9,138,0,141,0,52,0,51,24,745,0,772,9,340,0,353,8,498,7,510,0,77,0,77,19,920,5,940,22,902,4,924,18,634,7,650,9,128,0,133,41,1663,9,1711
215031403,13,513,3,529,4,168,4,169,3,47,0,53,26,725,6,756,9,256,0,273,24,269,3,300,4,64,0,72,36,591,9,641,21,771,5,798,27,437,6,470,8,117,0,125,61,1322,12,1392
215031404,56,2263,15,2336,15,547,5,568,6,163,3,171,75,2972,22,3071,35,1390,7,1437,42,1598,9,1654,5,275,3,289,84,3264,17,3376,93,3651,20,3769,57,2146,16,2216,12,439,7,463,164,6241,39,6447
215031405,16,1119,12,1147,4,271,0,276,6,79,4,88,23,1472,15,1507,5,376,0,381,8,320,0,330,0,65,0,66,17,762,6,778,19,1494,7,1527,12,597,3,610,4,149,7,158,36,2235,16,2286
216011406,52,2849,7,2909,19,810,12,843,10,275,3,291,86,3930,22,4041,70,1837,5,1911,56,2354,15,2432,22,405,0,427,145,4606,27,4768,120,4682,14,4825,78,3162,26,3270,28,682,10,718,229,8534,51,8813
