POW_SA2_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
116031313,0,0,0,0,0,0,0,0,0,14,0,14,0,4,0,7,3,75,0,80,0,3,0,3,10,164,4,184,20,235,0,249,0,50,0,50,0,7,0,7,0,26,0,26,0,9,0,9,0,24,0,24,7,41,0,50,7,28,0,39,36,543,3,583,24,141,0,164,0,14,0,16,6,34,0,45,13,69,8,83,132,1493,15,1639
116031314,0,19,0,20,0,3,0,6,16,1007,0,1021,10,333,0,346,42,1024,5,1064,5,289,0,288,0,209,0,212,6,147,0,153,11,731,3,745,0,36,0,36,0,29,0,33,0,83,0,83,12,279,0,293,0,136,0,140,5,101,0,107,5,200,0,209,0,306,0,309,3,21,0,24,6,154,0,165,9,549,0,556,136,5655,9,5804
116031315,0,4,0,4,0,0,0,0,0,28,0,34,0,3,0,4,3,146,0,154,0,23,0,25,11,439,0,454,15,269,0,275,0,107,0,107,0,13,0,13,0,68,0,63,0,31,0,31,0,88,0,87,3,52,0,56,0,49,0,53,23,649,3,670,12,369,0,379,0,6,0,6,0,48,0,51,0,84,0,85,83,2473,9,2556
116031316,0,9,0,9,0,0,0,0,0,23,0,25,0,3,0,5,6,76,0,74,5,8,0,6,7,136,0,144,0,38,0,41,0,64,0,68,0,5,0,5,0,33,0,29,3,16,0,17,6,35,0,35,3,31,0,42,3,45,0,46,41,405,0,448,22,151,0,169,4,13,0,13,3,39,0,37,5,63,0,68,99,1184,3,1291
116031317,0,5,0,9,0,3,0,3,10,260,0,274,0,13,0,10,12,353,0,362,0,96,0,99,35,999,0,1039,25,510,0,530,6,206,0,211,0,46,0,50,6,91,0,96,0,84,0,86,0,98,0,98,17,178,0,191,47,539,0,590,46,938,4,996,57,1372,0,1430,5,88,0,89,16,278,0,291,15,337,3,354,295,6499,12,6801
116031318,0,49,0,48,0,29,0,35,29,2787,3,2821,36,1542,4,1579,42,1401,5,1446,29,2673,5,2704,46,2265,0,2316,6,296,0,295,83,3879,12,3972,8,181,0,180,0,35,0,35,3,155,0,156,7,359,0,363,31,1312,0,1343,8,323,0,335,0,96,0,94,0,159,0,161,3,46,0,52,19,513,5,527,46,1933,4,1986,397,20025,38,20456
116031319,0,127,3,131,0,3,0,3,31,953,0,982,0,24,0,24,31,635,5,670,4,793,0,800,68,2716,0,2790,17,618,0,639,54,2665,3,2725,0,50,0,50,0,106,0,106,5,152,0,157,3,206,0,207,11,306,4,322,19,361,0,386,16,560,0,577,17,1276,3,1291,5,117,0,122,0,326,0,331,27,578,3,610,311,12577,28,12921
117011320,0,14,0,14,5,11,0,13,11,1570,0,1584,0,83,0,90,10,906,3,920,12,863,4,870,12,399,0,408,0,118,0,118,36,2482,9,2525,0,19,0,19,0,11,0,11,0,123,0,125,0,170,0,170,5,185,0,182,6,153,0,157,4,16,0,21,5,111,0,119,0,3,0,3,0,157,0,157,15,752,0,765,112,8136,17,8268
117011321,0,13,0,13,0,4,0,4,4,667,0,679,0,43,0,43,19,1378,3,1405,3,347,0,348,3,418,0,425,0,190,0,195,14,1238,0,1251,0,98,0,103,0,53,0,54,0,135,0,136,5,402,0,404,6,243,0,245,11,296,0,311,4,223,0,226,9,311,0,324,6,126,0,130,5,298,0,297,6,567,0,579,98,7060,18,7176
117011323,0,0,0,0,0,0,0,0,3,363,0,367,7,67,0,75,8,289,0,300,0,62,0,62,30,1422,7,1458,0,291,0,296,0,159,0,157,0,74,0,74,3,70,0,76,0,34,0,33,3,190,0,191,0,127,0,129,8,100,0,106,6,244,0,248,8,444,0,451,3,101,0,104,0,135,0,140,4,164,0,170,79,4339,15,4429
