POW_SA2_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
203031051,102,12,10,14,43,32,49,0,15,268
203031052,117,13,16,31,53,42,62,0,6,336
203031053,291,45,77,116,233,275,269,0,11,1322
203031489,86,16,30,36,74,84,90,4,6,410
203031490,220,30,39,62,148,132,155,0,17,799
204011054,143,16,26,25,24,43,72,0,13,355
204011055,87,10,12,19,46,48,55,0,10,278
204011056,192,31,51,77,155,125,109,3,22,764
204011057,219,27,31,53,57,60,109,6,19,568
204011058,67,5,7,25,38,62,64,0,9,273
204011059,98,17,12,32,70,80,74,0,22,402
204011060,94,18,15,19,54,31,20,5,3,258
204011061,0,0,0,0,0,0,0,0,0,10
204011062,70,5,5,11,17,15,9,0,8,138
204021063,182,26,29,48,89,88,158,0,9,629
204021064,30,0,3,5,3,9,5,0,0,74
204021065,48,8,13,8,28,15,12,0,0,134
204021066,356,48,68,89,152,147,224,4,16,1109
204021067,89,11,14,12,20,33,50,0,3,235
204031068,92,15,16,17,39,24,30,0,10,241
204031069,210,28,66,65,98,72,144,0,16,696
204031070,29,4,0,5,13,3,6,0,0,60
204031071,96,4,14,19,23,28,42,0,3,230
204031072,84,8,9,10,22,26,42,10,3,218
204031073,186,18,35,36,124,105,136,0,11,656
204031075,52,4,0,10,12,7,16,0,3,115
204031491,132,11,26,44,78,74,61,0,9,432
204031492,378,58,73,126,260,251,272,4,26,1455
205011076,213,21,32,61,120,106,75,0,18,650
205011077,88,12,9,14,32,35,83,5,5,292
205011078,93,9,28,32,55,46,52,0,15,327
205011079,483,67,112,141,274,212,310,3,23,1621
205021080,0,0,0,0,0,0,0,0,0,0
205021081,371,45,75,91,162,169,157,5,37,1112
205021082,81,7,13,13,18,49,103,3,10,301
205021083,0,0,0,0,0,0,0,0,0,0
205021084,127,12,20,35,55,63,48,0,12,369
205021085,117,19,14,16,25,11,29,0,3,227
205021086,45,0,10,8,20,20,22,0,3,139
205031087,176,14,27,41,54,36,37,5,13,398
205031088,5,0,0,0,0,0,4,0,0,15
205031089,137,14,21,41,66,58,68,4,15,430
205031090,257,16,40,45,89,70,64,3,11,590
205031091,270,32,54,57,96,92,122,0,18,732
205031092,0,0,0,0,0,0,0,0,0,7
205031093,449,56,63,117,193,212,119,3,33,1238
205041094,188,18,16,31,48,36,49,3,3,393
205041095,217,12,43,51,92,79,112,6,9,616
205041096,476,51,63,97,213,172,158,4,21,1247
205041098,12,0,0,0,6,0,0,0,5,30
205041493,239,37,66,101,176,148,167,6,23,944
205041494,224,35,57,96,157,127,133,4,14,849
